variable,kind,level,group_a,group_b,value_a,value_b,difference,standardized_difference,review_flag
zip_code,categorical,Surburban,No E-Mail,Mens E-Mail,0.4517506805594668,0.44590979490308347,0.0058408856563833544,,False
zip_code,categorical,Surburban,No E-Mail,Womens E-Mail,0.4517506805594668,0.45120867816898114,0.0005420023904856852,,False
zip_code,categorical,Surburban,Mens E-Mail,Womens E-Mail,0.44590979490308347,0.45120867816898114,-0.005298883265897669,,False
zip_code,categorical,Urban,No E-Mail,Mens E-Mail,0.4009199286585938,0.4018867039001267,-0.0009667752415328801,,False
zip_code,categorical,Urban,No E-Mail,Womens E-Mail,0.4009199286585938,0.40005610885117127,0.0008638198074225611,,False
zip_code,categorical,Urban,Mens E-Mail,Womens E-Mail,0.4018867039001267,0.40005610885117127,0.0018305950489554412,,False
channel,categorical,Multichannel,No E-Mail,Mens E-Mail,0.12231296348446447,0.1209461679260337,0.001366795558430764,,False
channel,categorical,Multichannel,No E-Mail,Womens E-Mail,0.12231296348446447,0.12058727264225931,0.0017256908422051548,,False
channel,categorical,Multichannel,Mens E-Mail,Womens E-Mail,0.1209461679260337,0.12058727264225931,0.00035889528377439084,,False
channel,categorical,Phone,No E-Mail,Mens E-Mail,0.4377640101379893,0.43366029943211154,0.004103710705877783,,False
channel,categorical,Phone,No E-Mail,Womens E-Mail,0.4377640101379893,0.4420442324776733,-0.004280222339684003,,False
channel,categorical,Phone,Mens E-Mail,Womens E-Mail,0.43366029943211154,0.4420442324776733,-0.008383933045561787,,False
channel,categorical,Web,No E-Mail,Mens E-Mail,0.4399230263775462,0.4453935326418548,-0.005470506264308561,,False
channel,categorical,Web,No E-Mail,Womens E-Mail,0.4399230263775462,0.43736849488006735,0.0025545314974788624,,False
channel,categorical,Web,Mens E-Mail,Womens E-Mail,0.4453935326418548,0.43736849488006735,0.008025037761787424,,False
history_segment,categorical,1) $0 - $100,No E-Mail,Mens E-Mail,0.3572702525110298,0.36250997324822826,-0.005239720737198472,,False
history_segment,categorical,1) $0 - $100,No E-Mail,Womens E-Mail,0.3572702525110298,0.3569458082012437,0.000324444309786065,,False
history_segment,categorical,1) $0 - $100,Mens E-Mail,Womens E-Mail,0.36250997324822826,0.3569458082012437,0.005564165046984537,,False
history_segment,categorical,2) $100 - $200,No E-Mail,Mens E-Mail,0.22697831596733314,0.22016238794762286,0.006815928019710288,,False
history_segment,categorical,2) $100 - $200,No E-Mail,Womens E-Mail,0.22697831596733314,0.22102211623883666,0.005956199728496481,,False
history_segment,categorical,2) $100 - $200,Mens E-Mail,Womens E-Mail,0.22016238794762286,0.22102211623883666,-0.0008597282912138071,,False
history_segment,categorical,3) $200 - $350,No E-Mail,Mens E-Mail,0.18980568853843988,0.1919556953114,-0.0021500067729601224,,False
history_segment,categorical,3) $200 - $350,No E-Mail,Womens E-Mail,0.18980568853843988,0.19427689718053023,-0.004471208642090357,,False
history_segment,categorical,3) $200 - $350,Mens E-Mail,Womens E-Mail,0.1919556953114,0.19427689718053023,-0.002321201869130235,,False
history_segment,categorical,4) $350 - $500,No E-Mail,Mens E-Mail,0.09969022810475922,0.09841836016332661,0.0012718679414326084,,False
history_segment,categorical,4) $350 - $500,No E-Mail,Womens E-Mail,0.09969022810475922,0.10230513863561977,-0.002614910530860548,,False
history_segment,categorical,4) $350 - $500,Mens E-Mail,Womens E-Mail,0.09841836016332661,0.10230513863561977,-0.0038867784722931564,,False
history_segment,categorical,5) $500 - $750,No E-Mail,Mens E-Mail,0.0775368440814794,0.07495189374384005,0.0025849503376393496,,False
history_segment,categorical,5) $500 - $750,No E-Mail,Womens E-Mail,0.0775368440814794,0.07771075887221209,-0.0001739147907326849,,False
history_segment,categorical,5) $500 - $750,Mens E-Mail,Womens E-Mail,0.07495189374384005,0.07771075887221209,-0.0027588651283720345,,False
history_segment,categorical,"6) $750 - $1,000",No E-Mail,Mens E-Mail,0.029193654369661128,0.030224808748298682,-0.0010311543786375547,,False
history_segment,categorical,"6) $750 - $1,000",No E-Mail,Womens E-Mail,0.029193654369661128,0.027727123953803712,0.001466530415857415,,False
history_segment,categorical,"6) $750 - $1,000",Mens E-Mail,Womens E-Mail,0.030224808748298682,0.027727123953803712,0.00249768479449497,,False
history_segment,categorical,"7) $1,000 +",No E-Mail,Mens E-Mail,0.019525016427297474,0.021776880837283522,-0.002251864409986048,,False
history_segment,categorical,"7) $1,000 +",No E-Mail,Womens E-Mail,0.019525016427297474,0.020012156917753775,-0.00048714049045630106,,False
history_segment,categorical,"7) $1,000 +",Mens E-Mail,Womens E-Mail,0.021776880837283522,0.020012156917753775,0.0017647239195297468,,False
